22_23	30_31	PRECONDITION
41	47	PRECONDITION
118	131_132	PRECONDITION
118	141	PRECONDITION
118	150	PRECONDITION
118	151	PRECONDITION
118	159	PRECONDITION
131_132	141	PRECONDITION
131_132	150	PRECONDITION
131_132	151	PRECONDITION
131_132	159	PRECONDITION
141	150	PRECONDITION
141	151	PRECONDITION
141	159	PRECONDITION
150	151	PRECONDITION
150	159	PRECONDITION
151	159	PRECONDITION
57	79	PRECONDITION
57	82	PRECONDITION
57	92	PRECONDITION
57	105	PRECONDITION
57	109	PRECONDITION
79	82	PRECONDITION
79	92	PRECONDITION
79	105	PRECONDITION
79	109	PRECONDITION
82	92	PRECONDITION
82	105	PRECONDITION
82	109	PRECONDITION
92	105	PRECONDITION
92	109	PRECONDITION
105	109	PRECONDITION
165_166	168	PRECONDITION
165_166	188_189	PRECONDITION
165_166	204	PRECONDITION
168	188_189	PRECONDITION
168	204	PRECONDITION
188_189	204	PRECONDITION
